dataset,stem_group,genre_sub,split,files,total_h,active_h,active_frac,n_segments,seg_p25_s,seg_p50_s,seg_p75_s,gap_p25_s,gap_p50_s,gap_p75_s,gap_p95_s
71470,pitched_percussion,C01,train,34.0,0.08,0.08,0.969,35.0,7.11,8.05,9.27,0.6,0.6,0.6,0.6
71470,voice,C01,train,9.0,0.03,0.03,0.9696,14.0,6.66,7.11,9.09,0.23,0.41,0.46,0.53
71470,voice,C11,train,139.0,0.39,0.38,0.9855,140.0,8.98,10.28,10.76,0.23,0.23,0.23,0.23
71470,voice,CR1,train,163.0,0.71,0.68,0.9593,283.0,3.5,7.22,11.84,0.14,0.32,0.83,1.75
71470,voice,CR2,train,252.0,0.95,0.92,0.9647,359.0,4.76,8.28,11.68,0.14,0.32,0.62,2.25
71470,voice,E05,train,50.0,0.18,0.18,0.9823,52.0,8.77,11.87,16.19,0.13,0.16,0.2,0.22
71470,voice,E06,train,8.0,0.07,0.07,0.9954,9.0,14.31,29.67,36.89,0.23,0.23,0.23,0.23
71470,voice,F06,train,1076.0,4.53,4.52,0.9972,1101.0,8.92,13.48,19.96,0.09,0.18,0.41,0.71
71470,voice,F07,train,305.0,1.19,1.18,0.9918,313.0,10.03,11.18,16.93,0.13,0.25,0.54,0.82
71470,voice,F08,train,378.0,1.3,1.27,0.9785,602.0,3.6,6.97,9.94,0.14,0.28,0.55,1.1
71470,voice,F09,train,80.0,0.29,0.28,0.9633,150.0,3.16,6.16,9.18,0.23,0.46,0.76,1.13
71470,voice,F10,train,2.0,0.0,0.0,0.9897,3.0,4.62,4.92,6.21,0.14,0.14,0.14,0.14
71470,voice,F12,train,3.0,0.01,0.01,0.9803,5.0,4.14,4.42,8.05,0.18,0.23,0.28,0.31
71470,voice,FS1,train,26.0,0.1,0.09,0.8957,52.0,3.85,5.43,7.07,0.28,0.64,1.27,2.4
71470,voice,FS2,train,244.0,0.79,0.78,0.9845,292.0,5.14,8.03,12.39,0.26,0.37,0.78,1.64
71470,가야금,C09,train,10.0,0.02,0.02,0.9968,10.0,4.97,5.01,5.05,,,,
71470,가야금,CR1,train,78.0,0.29,0.29,0.9918,81.0,7.77,10.95,16.7,0.34,0.6,1.17,1.63
71470,가야금,CR2,train,287.0,1.07,1.05,0.9789,335.0,6.07,8.33,12.93,0.22,1.04,1.91,3.6
71470,가야금,E01,train,520.0,2.85,2.4,0.843,1541.0,2.39,3.13,6.35,0.51,1.52,2.16,3.04
71470,가야금,E02,train,12.0,0.05,0.05,0.9639,23.0,4.6,5.98,9.8,0.21,0.64,0.76,0.97
71470,가야금,E04,train,36.0,0.15,0.15,0.9934,39.0,9.68,10.86,18.4,0.18,0.23,0.3,0.35
71470,가야금,F02,train,208.0,0.56,0.56,0.9941,224.0,4.97,9.04,11.96,0.13,0.37,0.62,0.95
71470,가야금,F06,train,124.0,0.38,0.37,0.9972,124.0,8.56,9.31,12.99,,,,
71470,가야금,F10,train,1.0,0.0,0.0,0.9969,1.0,6.85,6.85,6.85,,,,
71470,가야금,FS1,train,77.0,0.26,0.26,0.9817,83.0,8.49,9.11,11.78,0.3,0.69,1.53,2.86
71470,가야금,FS2,train,3.0,0.03,0.03,0.9904,3.0,32.29,43.01,43.63,,,,
71470,거문고,C09,train,12.0,0.03,0.03,0.9913,13.0,4.92,5.01,9.84,0.6,0.6,0.6,0.6
71470,거문고,CR1,train,34.0,0.11,0.09,0.8611,83.0,1.31,2.16,5.7,0.37,0.64,1.2,2.15
71470,거문고,CR2,train,58.0,0.14,0.14,0.9954,64.0,5.66,7.36,8.5,0.07,0.14,0.21,0.23
71470,거문고,E01,train,243.0,1.41,1.11,0.7882,963.0,1.66,2.12,3.96,0.46,1.01,2.27,3.13
71470,거문고,E03,train,2.0,0.02,0.01,0.769,9.0,2.39,2.67,8.65,0.34,1.61,2.44,4.07
71470,거문고,E04,train,47.0,0.18,0.18,0.9793,62.0,5.03,9.38,12.2,0.07,0.23,0.46,0.53
71470,거문고,E05,train,252.0,0.94,0.94,0.9931,254.0,8.62,11.66,16.24,0.38,0.44,0.49,0.54
71470,거문고,F02,train,59.0,0.14,0.14,0.9969,59.0,5.98,6.9,10.76,,,,
71470,거문고,FS2,train,118.0,0.29,0.29,0.9896,123.0,7.04,7.87,10.4,1.56,1.7,1.84,1.99
71470,기타,C03,train,50.0,0.14,0.14,0.9976,50.0,7.68,8.46,11.99,,,,
71470,기타,C05,train,8.0,0.02,0.02,0.9925,8.0,7.35,8.26,9.56,,,,
71470,기타,C06,train,27.0,0.09,0.09,0.998,27.0,8.07,9.06,14.54,,,,
71470,기타,C09,train,70.0,0.14,0.14,0.9967,70.0,4.97,6.35,7.76,,,,
71470,기타,C10,train,16.0,0.05,0.05,0.9771,23.0,5.27,6.35,9.41,0.23,0.51,0.64,0.72
71470,기타,CR1,train,48.0,0.15,0.15,0.9532,67.0,5.73,7.22,9.34,0.14,0.64,1.08,1.72
71470,기타,CR2,train,24.0,0.09,0.09,0.9573,43.0,3.01,5.52,10.23,0.23,0.28,0.9,1.55
71470,기타,E01,train,14.0,0.02,0.02,0.9961,14.0,5.26,5.8,5.8,,,,
71470,기타,E02,train,122.0,0.46,0.46,0.9944,122.0,8.99,10.0,19.12,,,,
71470,기타,E04,train,31.0,0.07,0.07,0.9968,31.0,5.77,7.04,8.3,,,,
71470,기타,F02,train,68.0,0.24,0.24,0.9725,129.0,3.82,5.38,8.6,0.09,0.18,0.32,0.51
71470,기타,F04,train,1.0,0.01,0.01,0.8996,5.0,4.42,4.69,4.74,0.63,0.64,0.64,0.64
71470,기타,F06,train,25.0,0.11,0.1,0.9902,28.0,6.64,9.91,14.65,0.14,0.14,0.16,0.18
71470,기타,FS2,train,125.0,0.5,0.49,0.9779,187.0,4.32,7.68,12.77,0.14,0.18,0.41,0.92
71470,기타,FS3,train,10.0,0.04,0.04,0.9715,11.0,8.49,9.94,11.73,0.23,0.23,0.23,0.23
71470,대금,C03,train,2.0,0.01,0.01,0.9978,2.0,20.88,20.88,20.88,,,,
71470,대금,C05,train,1.0,0.01,0.01,0.9842,1.0,31.51,31.51,31.51,,,,
71470,대금,C09,train,11.0,0.02,0.02,0.9946,11.0,4.95,5.01,7.5,,,,
71470,대금,CR1,train,14.0,0.04,0.04,0.9952,15.0,5.31,6.85,11.22,0.28,0.28,0.28,0.28
71470,대금,CR2,train,110.0,0.42,0.41,0.9673,163.0,5.66,8.69,11.45,0.18,0.28,0.46,1.51
71470,대금,E01,train,234.0,1.33,1.29,0.9705,564.0,3.96,6.03,10.3,0.14,0.28,0.37,0.51
